datetime,open,high,low,close,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,date,hour,dayofweek,month,day,dayofyear
2024-10-09 16:30:00+00:00,132.305,132.555,132.12,132.49,NVDA,0.050894,-0.04164,Neutral,2024-10-09,16,2,10,9,283
2024-10-09 16:40:00+00:00,132.49,132.57,132.225,132.42,NVDA,0.050894,-0.04164,Neutral,2024-10-09,16,2,10,9,283
2024-10-09 16:50:00+00:00,132.42,132.51,131.935,132.185,NVDA,0.050894,-0.04164,Neutral,2024-10-09,16,2,10,9,283
2024-10-09 17:00:00+00:00,132.175,132.245,131.88,131.975,NVDA,0.050894,-0.04164,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 17:10:00+00:00,131.975,132.225,131.73,131.73,NVDA,0.050894,-0.04164,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 17:20:00+00:00,131.745,132.01,131.65,131.98,NVDA,0.050894,-0.04164,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 17:30:00+00:00,131.975,132.03,131.715,131.945,NVDA,0.379051,0.007863,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 17:40:00+00:00,131.945,132.27,131.885,132.215,NVDA,0.379051,0.007863,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 17:50:00+00:00,132.215,132.25,131.49,131.82,NVDA,0.379051,0.007863,Neutral,2024-10-09,17,2,10,9,283
2024-10-09 18:00:00+00:00,131.78,132.03,131.66,131.895,NVDA,0.379051,0.007863,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 18:10:00+00:00,131.895,131.92,131.685,131.78,NVDA,0.379051,0.007863,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 18:20:00+00:00,131.78,132.665,131.575,132.635,NVDA,0.379051,0.007863,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 18:30:00+00:00,132.635,132.685,132.25,132.415,NVDA,0.050679,-0.033682,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 18:40:00+00:00,132.415,132.535,132.135,132.25,NVDA,0.050679,-0.033682,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 18:50:00+00:00,132.25,132.495,132.115,132.335,NVDA,0.050679,-0.033682,Neutral,2024-10-09,18,2,10,9,283
2024-10-09 19:00:00+00:00,132.335,132.64,132.155,132.225,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-09 19:10:00+00:00,132.225,132.54,132.185,132.445,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-09 19:20:00+00:00,132.445,132.525,132.23,132.34,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-09 19:30:00+00:00,132.33,132.85,132.315,132.6,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-09 19:40:00+00:00,132.6,132.745,132.305,132.445,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-09 19:50:00+00:00,132.47,132.825,132.47,132.61,NVDA,0.050679,-0.033682,Neutral,2024-10-09,19,2,10,9,283
2024-10-10 13:30:00+00:00,131.955,133.31,131.32,133.13,NVDA,0.079656,0.225451,Somewhat-Bullish,2024-10-10,13,3,10,10,284
2024-10-10 13:40:00+00:00,133.12,133.32,131.79,131.8,NVDA,0.079656,0.225451,Somewhat-Bullish,2024-10-10,13,3,10,10,284
2024-10-10 13:50:00+00:00,131.805,133.2,131.59,132.83,NVDA,0.035035,0.004922,Neutral,2024-10-10,13,3,10,10,284
2024-10-10 14:00:00+00:00,132.825,133.39,132.645,133.16,NVDA,0.035035,0.004922,Neutral,2024-10-10,14,3,10,10,284
2024-10-10 14:10:00+00:00,133.16,133.995,133.07,133.925,NVDA,0.035035,0.004922,Neutral,2024-10-10,14,3,10,10,284
2024-10-10 14:20:00+00:00,133.93,134.305,133.44,134.255,NVDA,0.124164,0.114846,Neutral,2024-10-10,14,3,10,10,284
2024-10-10 14:30:00+00:00,134.25,134.29,133.47,133.89,NVDA,0.124164,0.114846,Neutral,2024-10-10,14,3,10,10,284
2024-10-10 14:40:00+00:00,133.89,134.69,133.68,134.655,NVDA,0.124164,0.114846,Neutral,2024-10-10,14,3,10,10,284
2024-10-10 14:50:00+00:00,134.655,134.775,134.12,134.31,NVDA,0.249531,0.156375,Somewhat-Bullish,2024-10-10,14,3,10,10,284
2024-10-10 15:00:00+00:00,134.31,134.395,133.98,134.12,NVDA,0.063933,0.093164,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 15:10:00+00:00,134.12,134.365,133.81,134.19,NVDA,0.063933,0.093164,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 15:20:00+00:00,134.19,134.335,133.92,134.09,NVDA,0.063933,0.093164,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 15:30:00+00:00,134.09,134.485,133.93,134.435,NVDA,0.063933,0.093164,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 15:40:00+00:00,134.435,134.695,134.09,134.61,NVDA,0.082111,0.0,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 15:50:00+00:00,134.615,134.955,134.51,134.895,NVDA,0.082111,0.0,Neutral,2024-10-10,15,3,10,10,284
2024-10-10 16:00:00+00:00,134.895,134.99,134.795,134.945,NVDA,0.082111,0.0,Neutral,2024-10-10,16,3,10,10,284
2024-10-10 16:10:00+00:00,134.945,135.0,134.67,134.705,NVDA,0.082111,0.0,Neutral,2024-10-10,16,3,10,10,284
2024-10-10 16:20:00+00:00,134.705,134.865,134.3,134.38,NVDA,0.252987,0.23878,Somewhat-Bullish,2024-10-10,16,3,10,10,284
2024-10-10 16:30:00+00:00,134.385,134.505,133.945,134.42,NVDA,0.252987,0.23878,Somewhat-Bullish,2024-10-10,16,3,10,10,284
2024-10-10 16:40:00+00:00,134.425,134.75,134.13,134.35,NVDA,0.252987,0.23878,Somewhat-Bullish,2024-10-10,16,3,10,10,284
2024-10-10 16:50:00+00:00,134.35,134.48,134.135,134.47,NVDA,0.10607,0.127775,Neutral,2024-10-10,16,3,10,10,284
2024-10-10 17:00:00+00:00,134.475,134.77,134.1,134.29,NVDA,0.10607,0.127775,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 17:10:00+00:00,134.285,134.52,134.085,134.45,NVDA,0.10607,0.127775,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 17:20:00+00:00,134.45,134.92,134.445,134.8,NVDA,0.10607,0.127775,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 17:30:00+00:00,134.8,134.985,134.77,134.775,NVDA,0.10607,0.127775,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 17:40:00+00:00,134.79,134.86,134.43,134.485,NVDA,0.151938,0.005119,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 17:50:00+00:00,134.485,134.665,134.15,134.62,NVDA,0.151938,0.005119,Neutral,2024-10-10,17,3,10,10,284
2024-10-10 18:00:00+00:00,134.62,134.71,134.35,134.57,NVDA,0.130429,-0.003533,Neutral,2024-10-10,18,3,10,10,284
2024-10-10 18:10:00+00:00,134.575,134.66,134.28,134.525,NVDA,0.130429,-0.003533,Neutral,2024-10-10,18,3,10,10,284
2024-10-10 18:20:00+00:00,134.515,134.59,134.27,134.34,NVDA,0.130429,-0.003533,Neutral,2024-10-10,18,3,10,10,284
2024-10-10 18:30:00+00:00,134.34,134.41,133.75,133.8,NVDA,0.047371,0.325057,Somewhat-Bullish,2024-10-10,18,3,10,10,284
2024-10-10 18:40:00+00:00,133.8,134.05,133.53,133.91,NVDA,0.047371,0.325057,Somewhat-Bullish,2024-10-10,18,3,10,10,284
2024-10-10 18:50:00+00:00,133.91,134.27,133.815,134.1,NVDA,0.785247,0.279832,Somewhat-Bullish,2024-10-10,18,3,10,10,284
2024-10-10 19:00:00+00:00,134.1,134.11,133.715,133.94,NVDA,0.785247,0.279832,Somewhat-Bullish,2024-10-10,19,3,10,10,284
